"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Acanthephyra pelagica","adult","NO",38.8888888888889,0,0,0
"Brachyscelus crusculum","adult","NO",92.5925925925926,0,0,0
"Ceratoscopelus maderensis","adult","NO",29.6296296296296,0,0,0
"Ceratoscopelus townsendi","larva","NO",0.996677740863787,0,0,0
"Cololabis saira","adult","NO",54.35,0,23.3,0
"Cololabis saira","juvenile","NO",10.9,3.18140104,0,0
"Cololabis saira","juvenile","PB",18,2,20,119.1
"Diaphus luetkeni","adult","NO",2.85714285714286,0,0,0
"Diaphus theta","adult","PB",1,0,0.1,66
"Doryteuthis opalescens","juvenile","PB",9,1,3.3,0.6
"Electrona risso","adult","NO",5.71428571428571,0,0,0
"Engraulis encrasicolus","juvenile","NO",29.2,0,20,0
"Engraulis japonicus","juvenile","NO",85.4,52.8,95.2,0
"Engraulis mordax","juvenile","NO",12.75,0,2,0
"Engraulis mordax","juvenile","PB",53,27,23,34.7
"Engraulis mordax","juvenile","SL",69.7,34.938768479977,0,47
"Engraulis mordax","juvenile","TL",26.5,40.4,0,40
"Euphausia pacifica","adult","NO",38.9,43.1,0,0
"Eusergestes arcticus","adult","NO",52,0,0,0
"Eusergestes arcticus","juvenile","NO",3.7037037037037,0,0,0
"Eusergestes similis","adult","NO",45,76.5,0,0
"Gennadas elegans","juvenile","NO",4,0,0,0
"Gonatopsis borealis","juvenile","NO",12.5,1.7,0.3,0
"Gonatus californiensis","juvenile","PB",0,0,0,1.2
"Gonatus onyx","juvenile","PB",1,0,0,1.5
"Gonatus pyros","juvenile","NO",0,0,0.1,0
"Heteroteuthis dispar","adult","ML",58.1,88.2,0,25.8
"Heteroteuthis dispar","adult","NO",66,65,3.68,0
"Histioteuthis bonnellii","juvenile","NO",63.2,38.4,0,0
"Hyperia galba","adult","NO",0.1,0,0,0
"Illex argentinus","juvenile","NO",12,0,0,0
"Lampanyctus alatus","adult","NO",5.55555555555556,0,0,0
"Lampanyctus crocodilus","adult","NO",48.5714285714286,0,0,0
"Lampanyctus intricarius","adult","NO",37.037037037037,0,0,0
"Lampanyctus mexicanus","larva","NO",0.996677740863787,0,0,0
"Lanceola sayana","adult","NO",1.85185185185185,0,0,0
"Lobianchia gemellarii","adult","NO",4,0,0,0
"Meganyctiphanes norvegica","adult","NO",34.25,0,0,0
"Merluccius productus","juvenile","PB",16,19,30,60.9
"Merluccius productus","larva","NO",15.15,0,1.3,0
"Myctophum punctatum","adult","NO",68.5185185185185,0,0,0
"Nannobrachium regale","larva","NO",0.996677740863787,0,0,0
"Nannobrachium ritteri","larva","NO",0.996677740863787,0,0,0
"Nematoscelis megalops","adult","NO",80,0,0,0
"Nematoscelis megalops","adult","TL",15.5,0,0,40
"Neognathophausia gigas","adult","NO",0.7,0.1,0,0
"Notoscopelus kroyeri","adult","NO",4,0,0,0
"Octopoteuthis nielseni","juvenile","NO",0.332225913621262,0,0,0
"Octopus bimaculatus","juvenile","NO",15.9,1.7,0,0
"Onychoteuthis banksii","juvenile","NO",0.332225913621262,0,0,0
"Ornithoteuthis antillarum","juvenile","NO",12,0,0,0
"Palinurus mauritanicus","juvenile","NO",8,0,0,0
"Palinurus mauritanicus","larva","NO",8,0,0,0
"Paralepis coregonoides","adult","NO",0.8620689655,20.38,26.89,0
"Paralepis speciosa","adult","NO",0.8620689655,17.1,23.04,0
"Phrosina semilunata","adult","NO",0.1,0,0,0
"Pleuroncodes planipes","adult","NO",27.75,1.3,23.3,0
"Pleuroncodes planipes","adult","PB",1,0,0,33.8
"Polybius henslowii","adult","NO",1.85185185185185,0,0,0
"Polybius henslowii","larva","NO",51.4285714285714,0,0,0
"Pteroctopus tetracirrhus","juvenile","NO",24,3.4,0,0
"Pterygioteuthis microlampas","juvenile","NO",0.332225913621262,0,0,0
"Sardinops sagax","juvenile","PB",27,3,4,49.2
"Sardinops sagax","juvenile","TL",29.0697674418605,3.90206579954093,7.4327699862311,0
"Sardinops sagax","larva","NO",0.996677740863787,0,0,0
"Scaeurgus unicirrhus","juvenile","NO",5,1.6,0,0
"Scomber japonicus","larva","NO",0.996677740863787,0,0,0
"Scyllarus arctus","adult","NO",0.1,0,0,0
"Scyllarus arctus","juvenile","NO",20,0,0,0
"Scyllarus arctus","larva","NO",20.7,0,4.1,0
"Sebastes aleutianus","juvenile","PB",0,0,0,11.8
"Sebastes brevispinis","juvenile","PB",1,0,0,12.5
"Sebastes diploproa","juvenile","PB",1,0,0,16.8
"Sebastes helvomaculatus","juvenile","NO",0,0,0,0
"Sebastes maliger","juvenile","NO",0,0,0,0
"Sebastes miniatus","juvenile","PB",0,0,0,9.9
"Sebastes proriger","juvenile","PB",1,0,0,14.4
"Sebastes wilsoni","juvenile","PB",1,0,0,13
"Sebastes zacentrus","juvenile","PB",0,0,0,19.3
"Stenobrachius leucopsarus","adult","PB",3,0,0.2,59.8
"Sternoptyx obscura","adult","NO",0.996677740863787,0,0,0
"Strongylura exilis","adult","NO",0.996677740863787,0,0,0
"Sudis hyalina","adult","NO",0.8620689655,0.43,0.82,0
"Tarletonbeania crenularis","adult","NO",1,0,0,74.8
"Tarletonbeania crenularis","larva","NO",0.996677740863787,0,0,0
"Themisto gaudichaudii","adult","NO",27,0,0,0
"Todarodes sagittatus","juvenile","NO",73.7,39.5,0,0
"Trachurus symmetricus","juvenile","NO",5.35,0,1.75,0
"Trachurus symmetricus","juvenile","TL",40.6976744186046,13.6954858454476,27.5378035555447,0
"Vinciguerria lucetia","juvenile","NO",20.1,0,4.95,0
