dendlabs,prey_class,prey_order,prey_family,prey_sp,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,season_cat,gregarious,maxFO,maxN,maxM,prob.clust.num
1,Actinopterygii,Argentiniformes,Bathylagidae,Bathylagoides wesethi,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,0,0,0,1
2,Actinopterygii,Argentiniformes,Bathylagidae,Leuroglossus stilbius,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,0.4,0.1,0,2
3,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis californiensis,juvenile,epipelagic,coastal,diel (no),season (yes),schooling,0,0,0,3
4,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus ferox,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,2.7,0.3,1,2
5,Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus nikparini,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,1,0,0,2
6,Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus pharao,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,11.11111111,0,0,2
7,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,juvenile,demersal,continental shelf,diel (no),season (yes),schooling,2.857142857,0,0,4
8,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,adult,mesopelagic,oceanic,diel (yes),season (yes),non-schooling,52,4,0.5,2
9,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops ringens,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,4,0,0,2
10,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops similis,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1.6,0.2,0.1,2
11,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,31.48148148,0,0,5
12,Actinopterygii,Aulopiformes,Paralepididae,Lestrolepis intermedia,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,16.3,4.4,4.9,1
13,Actinopterygii,Aulopiformes,Paralepididae,Macroparalepis affinis,juvenile,epipelagic,oceanic,diel (no),season (yes),schooling,4,0,0,3
14,Actinopterygii,Aulopiformes,Paralepididae,Magnisudis atlantica,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,8.2,2,2.4,1
15,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,81.48148148,20.38,26.89,1
16,Actinopterygii,Aulopiformes,Paralepididae,Paralepis speciosa,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,0.862068966,17.1,23.04,1
17,Actinopterygii,Aulopiformes,Paralepididae,Sudis hyalina,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,0.862068966,0.43,0.82,1
18,Actinopterygii,Aulopiformes,Scopelarchidae,Scopelarchus analis,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,6,1,0.9,2
19,Actinopterygii,Beloniformes,Belonidae,Belone belone,juvenile,epipelagic,coastal,diel (no),season (yes),schooling,8.7,0,7.1,3
20,Actinopterygii,Beloniformes,Belonidae,Strongylura exilis,juvenile,epipelagic,coastal,diel (no),season (yes),schooling,0.996677741,0,0,3
21,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,juvenile,epipelagic,oceanic,diel (no),season (yes),schooling,54.35,11.1,23.3,3
22,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,juvenile,epipelagic,oceanic,diel (no),season (yes),schooling,64.81481481,2.1,26.3,3
23,Actinopterygii,Beryciformes,Berycidae,Beryx splendens,juvenile,epipelagic,continental shelf,diel (yes),season (yes),schooling,1.6,0.2,0.4,6
